recno,2MASS,UGCS,OName,RAJ2000,DEJ2000,rPos,SpType,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,RV,e_RV,r_RV,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Pop,SimbadName
1,J04034997+2620382,J040349.98+262038.1,XEST 06-006,60.95832,26.343864,Gaia,M5.25,14.212,0.295,-19.389,0.197,6.836,0.183,,,,,,,,,,16.985,0.002,19.369,0.036,15.561,0.004,blue,2MASS J04034997+2620382
2,J04044307+2618563,,IRAS 04016+2610,61.179461,26.315664,2MASS,K3,,,,,,,,,,,,,,,,,,,,,,,2MASS J04044307+2618563
3,J04064443+2540182,J040644.44+254018.1,,61.685215,25.671653,Gaia,M5.75,14.009,0.241,-18.784,0.124,6.506,0.124,,,,,,,,,,16.375,0.001,18.687,0.02,14.956,0.006,blue,2MASS J04064443+2540182
4,J04065134+2541282,,V1195 Tau,61.714057,25.691266,Gaia,K7,12.368,0.253,-18.119,0.088,6.385,0.095,16.01,0.2,1,-16.96,0.26,-12.99,0.24,-8.07,0.11,12.043,0.005,11.896,0.04,10.275,0.025,blue,2MASS J04065134+2541282
5,J04105425+2501266,J041054.25+250126.4,,62.726062,25.024065,2MASS,M2,,,,,,,,,,,,,,,,,,,,,,,2MASS J04105425+2501266
6,J04110081+2717163,J041100.82+271716.1,,62.753392,27.287872,2MASS,M9.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04110081+2717163
7,J04124068+2438157,J041240.69+243815.6,,63.169621,24.637623,Gaia,M3.5,14.258,0.15,-18.838,0.113,6.839,0.084,,,,,,,,,,14.588,0.002,16.328,0.017,13.284,0.004,blue,2MASS J04124068+2438157
8,J04131414+2819108,,LkCa 1,63.30902,28.319526,Gaia,M3.6,8.371,0.138,-24.403,0.094,7.761,0.057,9.57,0.12,1,-10.08,0.14,-12.41,0.11,-9.19,0.08,12.531,0.001,13.998,0.006,11.346,0.004,red,2MASS J04131414+2819108
9,J04132722+2816247,,Anon 1,63.363464,28.273412,Gaia,M0.5,7.44,0.156,-23.835,0.105,7.337,0.068,,,,,,,,,,12.223,0.001,13.748,0.005,11.007,0.003,red,2MASS J04132722+2816247
10,J04135328+2811233,J041353.28+281123.3,IRAS 04108+2803 A,63.472057,28.189686,Gaia,M5,11.323,2.528,-22.677,1.887,6.906,1.008,,,,,,,,,,20.396,0.007,21.486,0.219,18.451,0.053,red,2MASS J04135328+2811233
11,J04135471+2811328,J041354.71+281132.7,IRAS 04108+2803 B,63.477987,28.192472,2MASS,K-M,,,,,,,,,,,,,,,,,,,,,,,2MASS J04135471+2811328
12,J04135737+2918193,,IRAS 04108+2910,63.489117,29.305277,Gaia,M3,9.95,0.294,-22.89,0.141,8.099,0.1,,,,,,,,,,15.137,0.016,16.36,0.049,13.975,0.046,red,2MASS J04135737+2918193
13,J04141188+2811535,J041411.88+281153.3,,63.549554,28.198067,Gaia,M6.25,9.077,0.421,-23.889,0.211,7.628,0.166,,,,,,,,,,17.285,0.013,18.57,0.079,15.892,0.03,red,2MASS J04141188+2811535
14,,J041412.28+280837.1,IRAS 04111+2800G,63.551204,28.143658,UKIDSS,,,,,,,,,,,,,,,,,,,,,,,,
15,J04141291+2812124,,V773 Tau A+B,63.553891,28.203313,Gaia,K4,8.932,0.391,-29.054,0.25,7.805,0.141,16.0,2.5,2,-16.08,2.43,-13.44,0.54,-12.56,0.46,9.984,0.002,10.873,0.006,9.078,0.007,red,2MASS J04141291+2812124
16,J04141358+2812492,,FM Tau,63.556642,28.213552,Gaia,M4.5,8.587,0.103,-24.416,0.067,7.58,0.047,,,,,,,,,,13.619,0.009,14.771,0.046,12.475,0.023,red,2MASS J04141358+2812492
17,J04141458+2827580,,FN Tau,63.560856,28.466027,Gaia,M3.5,9.501,0.145,-23.569,0.108,7.62,0.062,14.9,0.4,3,-15.41,0.41,-11.69,0.14,-9.89,0.05,12.81,0.002,14.526,0.008,11.54,0.006,red,2MASS J04141458+2827580
18,J04141700+2810578,,CW Tau,63.570891,28.182609,Gaia,K3,8.278,0.101,-24.159,0.067,7.55,0.039,13.6,0.1,1,-13.85,0.12,-11.94,0.07,-10.38,0.06,12.928,0.035,13.8,0.129,11.688,0.113,red,2MASS J04141700+2810578
19,J04141760+2806096,,CIDA 1,63.573414,28.10258,Gaia,M5,8.339,0.197,-23.318,0.128,7.37,0.087,16.2,0.7,4,-16.34,0.7,-11.43,0.21,-10.89,0.09,15.67,0.004,17.482,0.03,14.291,0.013,red,2MASS J04141760+2806096
20,J04142626+2806032,,MHO 1,63.609489,28.100795,Gaia,M2.5,5.54,1.098,-27.639,0.742,7.036,0.543,,,,,,,,,,19.357,0.008,21.717,0.199,17.525,0.018,red,2MASS J04142626+2806032
21,J04142639+2805597,,MHO 2,63.610052,28.099789,Gaia,M2.5,8.784,0.441,-25.726,0.291,7.54,0.218,,,,,,,,,,16.989,0.003,20.088,0.07,15.329,0.008,red,2MASS J04142639+2805597
22,J04143054+2805147,,MHO 3,63.627319,28.087285,Gaia,M2.2,2.651,0.393,-24.114,0.254,4.128,0.192,,,,,,,,,,15.868,0.005,18.561,0.052,14.392,0.025,red,2MASS J04143054+2805147
23,J04143062+2807020,J041430.64+280701.9,,63.627608,28.117243,2MASS,M6,,,,,,,,,,,,,,,,,,,,,,,2MASS J04143062+2807020
24,J04144158+2809583,J041441.58+280958.4,,63.673289,28.166201,2MASS,M9.75,,,,,,,,,,,,,,,,,,,,,,,2MASS J04144158+2809583
25,J04144730+2646264,,FP Tau,63.69714,26.773906,Gaia,M2.6,9.48,0.119,-22.688,0.078,7.784,0.052,16.26,0.15,1,-16.27,0.17,-11.17,0.09,-9.96,0.05,12.736,0.002,14.074,0.009,11.59,0.005,red,2MASS J04144730+2646264
26,J04144739+2803055,,XEST 20-066,63.697532,28.051421,Gaia,M5.25,10.157,0.155,-26.128,0.103,7.771,0.077,,,,,,,,,,14.291,0.001,16.362,0.005,12.935,0.002,red,2MASS J04144739+2803055
27,J04144786+2648110,,CX Tau,63.699465,26.802963,Gaia,M2.5,9.025,0.1,-22.451,0.065,7.817,0.04,16.63,0.12,1,-16.54,0.14,-10.75,0.07,-10.14,0.04,12.618,0.001,13.904,0.005,11.494,0.002,red,2MASS J04144786+2648110
28,J04144797+2752346,,LkCa 3 A+B,63.699957,27.876176,Gaia,M2.4,,,,,,,14.97,0.22,5,,,,,,,11.132,0.003,12.354,0.006,10.023,0.004,,2MASS J04144797+2752346
29,J04144928+2812305,,FO Tau A+B,63.705384,28.20837,Gaia,M3.5,10.652,0.709,-21.171,0.527,6.372,0.377,,,,,,,,,,13.397,0.002,15.325,0.015,12.05,0.007,red,2MASS J04144928+2812305
30,J04145234+2805598,,XEST 20-071 A,63.717942,28.099842,Gaia,M3.25,7.995,0.185,-22.161,0.124,7.394,0.092,,,,,,,,,,14.076,0.001,16.352,0.009,12.646,0.004,red,2MASS J04145234+2805598
31,,,XEST 20-071 B,63.718511,28.099849,Gaia,,8.961,0.27,-23.606,0.202,7.378,0.154,,,,,,,,,,15.031,0.002,,,,,red,
32,J04150515+2808462,,CIDA 2,63.771527,28.146021,Gaia,M5.5,8.461,0.259,-24.479,0.197,7.487,0.141,,,,,,,,,,13.672,0.001,15.805,0.005,12.307,0.002,red,2MASS J04150515+2808462
33,J04151471+2800096,J041514.72+280009.3,KPNO 1,63.811385,28.002497,Gaia,M8.5,8.549,1.438,-25.522,1.054,7.882,0.688,,,,,,,,,,20.137,0.006,21.491,0.237,18.456,0.033,red,2MASS J04151471+2800096
34,J04152409+2910434,J041524.11+291043.2,,63.850477,29.17867,Gaia,M7,10.737,0.623,-19.436,0.429,5.969,0.316,,,,,,,,,,18.407,0.002,21.002,0.216,16.771,0.008,blue,2MASS J04152409+2910434
35,J04153452+2913469,J041534.52+291346.6,,63.893859,29.229717,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04153452+2913469
36,J04153566+2847417,J041535.67+284741.4,,63.898674,28.794822,Gaia,M5.5,,,,,,,,,,,,,,,,20.88,0.012,21.243,0.297,18.622,0.049,,2MASS J04153566+2847417
37,J04153916+2818586,,,63.913227,28.316153,Gaia,M3.75,9.248,0.153,-24.384,0.106,7.605,0.081,,,,,,,,,,14.295,0.003,16.406,0.012,12.935,0.009,red,2MASS J04153916+2818586
38,J04154131+2915078,J041541.32+291507.6,,63.922197,29.252124,Gaia,M5.75,12.0,0.273,-18.021,0.191,6.367,0.135,,,,,,,,,,16.717,0.001,19.35,0.056,15.239,0.004,blue,2MASS J04154131+2915078
39,J04154269+2909558,J041542.70+290955.7,,63.927942,29.165484,Gaia,M6.5,12.183,0.381,-16.6,0.254,6.387,0.185,,,,,,,,,,17.466,0.002,20.133,0.11,15.816,0.008,blue,2MASS J04154269+2909558
40,J04154278+2909597,,IRAS 04125+2902,63.928339,29.166542,Gaia,M1,12.336,0.139,-17.754,0.09,6.252,0.066,,,,,,,,,,13.991,0.002,15.601,0.009,12.752,0.004,blue,2MASS J04154278+2909597
41,J04154807+2911331,J041548.08+291132.9,,63.950355,29.192488,Gaia,M9,,,,,,,,,,,,,,,,20.944,0.014,21.611,0.475,19.212,0.094,,2MASS J04154807+2911331
42,J04155799+2746175,J041558.00+274617.2,,63.991708,27.771376,Gaia,M5.5,7.818,0.229,-24.652,0.153,7.371,0.107,,,,,,,,,,15.664,0.007,18.105,0.035,14.211,0.024,red,2MASS J04155799+2746175
43,J04161210+2756385,J041612.11+275638.3,,64.050492,27.943914,Gaia,M4.75,8.887,0.266,-25.716,0.191,7.273,0.117,,,,,,,,,,16.167,0.014,18.839,0.05,14.686,0.04,red,2MASS J04161210+2756385
44,J04161726+2817128,,,64.07197,28.286785,Gaia,M4.75,8.267,0.203,-25.347,0.152,7.627,0.115,,,,,,,,,,14.876,0.002,17.277,0.011,13.457,0.005,red,2MASS J04161726+2817128
45,J04161885+2752155,J041618.86+275215.2,,64.078617,27.87083,Gaia,M6.25,7.469,0.3,-24.929,0.208,7.284,0.143,,,,,,,,,,16.916,0.001,20.052,0.068,15.369,0.005,red,2MASS J04161885+2752155
46,J04162810+2807358,,LkCa 4,64.117146,28.126481,Gaia,M2,6.852,0.087,-25.905,0.062,7.702,0.035,15.77,0.11,1,-15.54,0.12,-11.6,0.07,-12.03,0.05,12.074,0.008,13.171,0.031,11.004,0.019,red,2MASS J04162810+2807358
47,J04163911+2858491,J041639.12+285848.9,,64.16306,28.9803,Gaia,M5.5,4.975,1.153,-15.0,0.685,6.248,0.544,,,,,,,,,,17.093,0.004,19.908,0.057,15.502,0.008,blue,2MASS J04163911+2858491
48,J04173372+2820468,,CY Tau,64.390579,28.346226,Gaia,M2.3,9.18,0.102,-25.548,0.075,7.759,0.044,16.68,0.02,1,-16.95,0.04,-12.07,0.09,-10.98,0.08,12.475,0.008,13.583,0.038,11.389,0.018,red,2MASS J04173372+2820468
49,J04173893+2833005,,LkCa 5,64.41231,28.55005,Gaia,M2.2,6.869,0.166,-25.249,0.091,7.676,0.06,15.83,0.16,1,-15.75,0.19,-11.3,0.11,-11.66,0.09,12.692,0.001,13.911,0.006,11.596,0.003,red,2MASS J04173893+2833005
50,J04174955+2813318,J041749.56+281331.5,KPNO 10,64.456529,28.225383,Gaia,M5,8.81,0.238,-25.219,0.188,7.28,0.117,,,,,,,,,,16.475,0.007,18.42,0.043,15.097,0.021,red,2MASS J04174955+2813318
51,J04174965+2829362,,V410 X-ray 1,64.456941,28.493318,Gaia,M3.7,6.904,0.184,-24.624,0.116,7.75,0.076,,,,,,,,,,14.445,0.033,16.26,0.081,13.068,0.098,red,2MASS J04174965+2829362
52,J04180796+2826036,J041807.97+282603.4,V410 X-ray 3,64.533261,28.434247,Gaia,M6.25,8.428,0.377,-24.73,0.261,8.478,0.183,17.9,1.2,4,-17.91,1.21,-9.94,0.35,-10.69,0.15,15.739,0.001,18.455,0.017,14.23,0.003,red,2MASS J04180796+2826036
53,J04181078+2519574,,V409 Tau,64.544971,25.332505,Gaia,M1,8.827,0.083,-23.335,0.064,7.612,0.04,,,,,,,,,,12.219,0.007,13.874,0.113,11.164,0.021,red,2MASS J04181078+2519574
54,J04181710+2828419,J041817.10+282841.7,V410 Anon 13,64.571317,28.478204,Gaia,M5.75,5.789,0.737,-25.031,0.366,8.04,0.334,20.4,0.9,3,-19.82,1.0,-9.33,0.55,-12.86,0.37,18.106,0.002,21.208,0.139,16.452,0.008,red,2MASS J04181710+2828419
55,J04182909+2826191,,V410 Anon 25,64.62124,28.438643,2MASS,M3.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04182909+2826191
56,J04183030+2743208,J041830.30+274320.7,KPNO 11,64.626301,27.72229,Gaia,M5.5,8.733,0.196,-26.265,0.145,7.699,0.094,,,,,,,,,,15.558,0.001,17.816,0.011,14.152,0.002,red,2MASS J04183030+2743208
57,J04183110+2827162,,V410 Tau A+B+C,64.629661,28.45438,Gaia,K5,8.683,0.128,-25.1,0.061,7.667,0.053,19.9,0.3,1,-19.96,0.31,-11.26,0.11,-11.85,0.04,10.321,0.003,11.059,0.012,9.502,0.008,red,2MASS J04183110+2827162
58,J04183112+2816290,,DD Tau A+B,64.62974,28.274656,Gaia,M3.5,8.816,0.38,-25.644,0.225,8.125,0.189,13.9,0.6,1,-14.19,0.64,-11.88,0.34,-10.06,0.17,13.808,0.018,14.862,0.059,12.366,0.041,red,2MASS J04183112+2816290
59,,J041831.24+282617.9,SST Tau 041831.2+282617,64.630179,28.438325,UKIDSS,,,,,,,,,,,,,,,,,,,,,,,,
60,J04183158+2816585,,CZ Tau A+B,64.631628,28.282823,Gaia,M4.2,,,,,,,,,,,,,,,,13.828,0.002,15.514,0.006,12.533,0.004,,2MASS J04183158+2816585
61,J04183203+2831153,J041832.04+283115.1,IRAS 04154+2823,64.633525,28.520831,Gaia,M2.5,,,,,,,,,,,,,,,,20.858,0.031,21.153,0.731,19.071,0.169,,2MASS J04183203+2831153
62,J04183444+2830302,,V410 X-ray 2,64.643529,28.508396,2MASS,M0,,,,,,,,,,,,,,,,,,,,,,,2MASS J04183444+2830302
63,J04184023+2824245,,V410 X-ray 4,64.667649,28.406688,Gaia,M3.5,,,,,,,,,,,,,,,,21.042,0.017,,,,,,2MASS J04184023+2824245
64,J04184061+2819155,,V892 Tau,64.669249,28.320883,Gaia,A0,6.619,0.239,-29.875,0.143,8.515,0.116,,,,,,,,,,13.479,0.001,15.358,0.005,12.097,0.003,red,2MASS J04184061+2819155
65,,,V892 Tau NE,64.669737,28.32192,Gaia,,6.908,0.787,-24.014,0.445,7.584,0.381,,,,,,,,,,18.718,0.004,20.43,0.11,16.802,0.03,red,
66,J04184133+2827250,J041841.32+282724.7,LR 1,64.672218,28.456947,2MASS,K4.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04184133+2827250
67,J04184250+2818498,,V410 X-ray 7,64.67714,28.313761,Gaia,M0.75,12.128,0.53,-24.146,0.325,7.968,0.257,,,,,,,,,,17.405,0.002,20.152,0.067,15.78,0.004,red,2MASS J04184250+2818498
68,J04184530+2758484,J041845.29+275848.0,,64.68875,27.980131,2MASS,M9.25,,,,,,,,,,,,,,,,,,,,,,,2MASS J04184530+2758484
69,J04184703+2820073,,Hubble 4,64.695997,28.335305,Gaia,K8,8.296,0.356,-25.309,0.229,7.951,0.152,15.0,1.7,6,-15.18,1.68,-11.64,0.4,-10.55,0.25,11.652,0.002,12.916,0.004,10.549,0.002,red,2MASS J04184703+2820073
70,J04185115+2814332,J041851.16+281432.9,KPNO 2,64.713176,28.242476,Gaia,M7.5,8.614,0.626,-24.653,0.369,7.958,0.306,,,,,,,,,,18.313,0.002,20.664,0.117,16.708,0.008,red,2MASS J04185115+2814332
71,J04185147+2820264,J041851.48+282026.1,CoKu Tau 1,64.714527,28.340585,Gaia,M0,,,,,,,,,,,,,,,,17.806,0.01,18.994,0.031,15.72,0.018,,2MASS J04185147+2820264
72,J04185813+2812234,J041858.14+281223.2,IRAS 04158+2805,64.742281,28.206386,Gaia,M5.25,5.672,1.41,-23.139,0.935,11.143,0.584,,,,,,,,,,18.47,0.019,19.72,0.079,16.245,0.059,red,2MASS J04185813+2812234
73,J04190110+2819420,,V410 X-ray 6,64.754643,28.328248,Gaia,M5.5,8.705,0.345,-25.337,0.199,8.377,0.153,,,,,,,,,,14.848,0.001,17.613,0.01,13.323,0.003,red,2MASS J04190110+2819420
74,J04190126+2802487,J041901.27+280248.3,KPNO 12,64.755337,28.046707,Gaia,M9,,,,,,,,,,,,,,,,21.165,0.021,,,,,,2MASS J04190126+2802487
75,J04190197+2822332,J041901.98+282232.8,V410 X-ray 5a,64.758284,28.375797,Gaia,M5.5,9.188,0.534,-25.756,0.263,7.404,0.23,14.7,0.4,3,-15.16,0.49,-13.35,0.5,-10.72,0.32,16.93,0.002,,,,,red,2MASS J04190197+2822332
76,,,FQ Tau B,64.803339,28.492373,Gaia,M4,,,,,,,,,,,,,,,,,,,,,,,
77,J04191281+2829330,,FQ Tau A,64.803526,28.49245,Gaia,M3.5,,,,,,,,,,,,,,,,14.135,0.017,15.742,0.03,12.662,0.008,,2MASS J04191281+2829330
78,J04191583+2906269,,BP Tau,64.816019,29.107368,Gaia,M0.5,8.627,0.144,-26.177,0.105,7.747,0.058,15.24,0.04,1,-15.69,0.07,-12.33,0.12,-10.88,0.11,11.444,0.005,12.215,0.018,10.563,0.011,red,2MASS J04191583+2906269
79,J04192625+2826142,,V819 Tau,64.859487,28.437185,Gaia,K8,8.357,0.177,-25.471,0.086,7.593,0.064,16.64,0.02,1,-16.82,0.06,-12.13,0.13,-11.27,0.12,12.187,0.007,13.262,0.024,11.138,0.017,red,2MASS J04192625+2826142
80,J04193545+2827218,,FR Tau,64.89779,28.455967,Gaia,M5.25,11.933,0.656,-25.972,0.397,8.358,0.301,,,,,,,,,,14.762,0.005,16.494,0.013,13.107,0.003,red,2MASS J04193545+2827218
81,J04194127+2749484,,LkCa 7 A+B,64.922002,27.829934,Gaia,M0,9.937,0.235,-24.961,0.125,7.913,0.102,17.98,0.04,1,-18.2,0.09,-11.82,0.19,-10.54,0.15,11.859,0.006,12.682,0.024,10.659,0.017,red,2MASS J04194127+2749484
82,J04194148+2716070,J041941.49+271606.8,IRAS 04166+2708,64.922838,27.268616,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04194148+2716070
83,,,IRAS 04166+2706,64.927083,27.226861,Spitzer,,,,,,,,,,,,,,,,,,,,,,,,
84,J04194657+2712552,J041946.58+271255.0,[GKH94] 41,64.944061,27.215336,2MASS,M7.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04194657+2712552
85,J04195040+2820485,J041950.41+282048.5,,64.960038,28.346827,2MASS,L0,,,,,,,,,,,,,,,,,,,,,,,2MASS J04195040+2820485
86,J04195844+2709570,J041958.45+270956.9,IRAS 04169+2702,64.993539,27.165852,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04195844+2709570
87,J04201611+2821325,J042016.11+282132.2,,65.067187,28.358924,Gaia,M6.5,8.556,0.496,-25.181,0.279,7.752,0.201,,,,,,,,,,17.883,0.003,20.488,0.075,16.35,0.007,red,2MASS J04201611+2821325
88,J04202144+2813491,J042021.43+281348.9,,65.089345,28.230326,2MASS,M1,,,,,,,,,,,,,,,,,,,,,,,2MASS J04202144+2813491
89,J04202555+2700355,J042025.56+270035.4,,65.106542,27.009798,Gaia,M5.25,11.351,0.474,-17.73,0.258,5.87,0.185,,,,,,,,,,17.033,0.001,19.721,0.059,15.524,0.005,blue,2MASS J04202555+2700355
90,J04202583+2819237,J042025.84+281923.5,IRAS 04173+2812,65.107697,28.323176,Gaia,M4,10.661,0.987,-24.222,0.535,8.188,0.418,,,,,,,,,,19.105,0.017,20.331,0.08,17.734,0.059,red,2MASS J04202583+2819237
91,J04202606+2804089,,,65.10865,28.069069,Gaia,M3.5,8.332,0.112,-26.074,0.07,7.843,0.053,,,,,,,,,,13.476,0.001,14.932,0.003,12.29,0.002,red,2MASS J04202606+2804089
92,J04203918+2717317,,XEST 16-045,65.163341,27.292049,Gaia,M4.5,10.415,0.122,-26.085,0.084,7.515,0.065,,,,,,,,,,13.745,0.002,15.506,0.009,12.463,0.006,red,2MASS J04203918+2717317
93,J04204301+2810364,J042043.02+281036.1,,65.179224,28.176781,2MASS,M9.25,,,,,,,,,,,,,,,,,,,,,,,2MASS J04204301+2810364
94,J04210749+2703022,J042107.49+270302.0,,65.281216,27.050619,2MASS,M6,,,,,,,,,,,,,,,,,,,,,,,2MASS J04210749+2703022
95,J04210795+2702204,J042107.96+270220.3,,65.283215,27.038915,Gaia,M5.25,,,,,,,,,,,,,,,,18.502,0.037,20.357,0.167,16.659,0.102,,2MASS J04210795+2702204
96,J04210934+2750368,J042109.35+275036.4,,65.289005,27.843383,Gaia,M5.25,7.952,0.231,-26.851,0.149,8.452,0.098,,,,,,,,,,15.042,0.001,16.854,0.013,13.456,0.002,red,2MASS J04210934+2750368
97,J04211038+2701372,J042110.40+270137.1,IRAS 04181+2654 B,65.293285,27.027016,2MASS,K7,,,,,,,,,,,,,,,,,,,,,,,2MASS J04211038+2701372
98,J04211146+2701094,J042111.48+270109.3,IRAS 04181+2654 A,65.297787,27.019279,2MASS,M3,,,,,,,,,,,,,,,,,,,,,,,2MASS J04211146+2701094
99,J04213459+2701388,J042134.60+270138.7,,65.394197,27.02735,Gaia,M5.5,11.773,0.314,-16.632,0.207,5.988,0.138,,,,,,,,,,16.415,0.002,19.34,0.032,14.805,0.005,blue,2MASS J04213459+2701388
100,J04213965+2649143,J042139.65+264914.0,,65.415253,26.820494,Gaia,M6,10.667,0.373,-18.084,0.191,6.013,0.168,,,,,,,,,,16.897,0.001,19.796,0.06,15.368,0.004,blue,2MASS J04213965+2649143
101,J04214013+2814224,J042140.14+281422.2,XEST 21-026,65.41731,28.239489,Gaia,M5.75,8.357,0.193,-25.982,0.117,7.789,0.095,,,,,,,,,,15.515,0.002,17.742,0.013,14.122,0.006,red,2MASS J04214013+2814224
102,J04214323+1934133,,IRAS 04187+1927,65.430174,19.570313,Gaia,M2.4,5.7,0.179,-11.755,0.135,6.723,0.099,,,,,,,,,,14.422,0.002,16.5,0.009,13.026,0.004,red,2MASS J04214323+1934133
103,J04214631+2659296,J042146.31+265929.3,,65.443018,26.99142,Gaia,M5.75,11.917,0.643,-18.326,0.431,6.232,0.283,,,,,,,,,,18.628,0.002,21.071,0.168,17.003,0.009,blue,2MASS J04214631+2659296
104,J04215450+2652315,J042154.51+265231.4,,65.47719,26.875376,Gaia,M8.5,,,,,,,,,,,,,,,,20.977,0.015,20.91,0.232,19.203,0.088,,2MASS J04215450+2652315
105,J04215482+2642372,J042154.82+264237.2,,65.478478,26.710314,Gaia,M5,10.139,0.276,-16.873,0.143,6.201,0.13,,,,,,,,,,16.054,0.001,18.404,0.016,14.64,0.002,blue,2MASS J04215482+2642372
106,J04215563+2755060,,DE Tau,65.481863,27.918267,Gaia,M2.3,10.755,0.174,-27.221,0.083,7.851,0.066,15.4,0.02,1,-15.91,0.06,-13.83,0.14,-10.25,0.11,11.913,0.001,13.079,0.006,10.821,0.003,red,2MASS J04215563+2755060
107,,,IRAM 04191+1522,65.486933,15.496111,Spitzer,,,,,,,,,,,,,,,,,,,,,,,,
108,J04215740+2826355,,RY Tau,65.489246,28.443093,Gaia,G1,4.987,0.557,-25.712,0.477,2.257,0.239,16.5,2.4,6,,,,,,,10.693,0.014,11.363,0.037,9.884,0.052,red,2MASS J04215740+2826355
109,J04215884+2818066,,HD 283572,65.495245,28.301695,Gaia,G4,9.011,0.115,-26.385,0.072,7.673,0.052,14.22,0.08,1,-14.61,0.1,-13.26,0.11,-10.47,0.07,8.796,0.001,9.263,0.003,8.193,0.002,red,2MASS J04215884+2818066
110,J04215943+1932063,,T Tau N+S,65.497687,19.535058,Gaia,K0,11.356,0.122,-14.837,0.1,6.929,0.058,19.1,1.1,6,-18.38,1.06,-11.58,0.13,-7.51,0.29,9.627,0.003,10.399,0.009,8.745,0.006,red,2MASS J04215943+1932063
111,J04220007+1530248,J042200.08+153024.7,IRAS 04191+1523 B,65.500315,15.506902,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04220007+1530248
112,J04220043+1530212,J042200.42+153021.2,IRAS 04191+1523 A,65.501831,15.505893,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04220043+1530212
113,J04220069+2657324,J042200.71+265732.4,,65.502906,26.959024,2MASS,K5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04220069+2657324
114,,J042201.36+265512.1,,65.505672,26.920047,UKIDSS,L1,,,,,,,,,,,,,,,,,,,,,,,
