recno,2MASS,UGCS,OName,RAJ2000,DEJ2000,rPos,SpType,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,RV,e_RV,r_RV,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Pop,SimbadName
115,J04220217+2657304,,FS Tau A+B,65.509135,26.958425,Gaia,M0,,,,,,,,,,,,,,,,14.321,0.006,15.743,0.031,12.84,0.018,,2MASS J04220217+2657304
116,J04220313+2825389,,LkCa 21,65.51316,28.427416,Gaia,M2.5,10.27,0.307,-25.864,0.21,8.314,0.139,14.3,0.3,1,-14.87,0.34,-12.24,0.25,-9.25,0.16,12.317,0.001,13.672,0.004,11.166,0.002,red,2MASS J04220313+2825389
117,J04220496+1934483,,RX J0422.1+1934,65.520707,19.580056,Gaia,M4.5,6.757,0.169,-12.729,0.131,6.906,0.097,,,,,,,,,,14.064,0.003,16.135,0.014,12.681,0.009,red,2MASS J04220496+1934483
118,J04221332+1934392,,,65.555524,19.57752,Gaia,M8,6.416,0.498,-12.41,0.399,7.284,0.292,,,,,,,,,,17.432,0.002,20.52,0.095,15.802,0.006,red,2MASS J04221332+1934392
119,J04221568+2657060,J042215.68+265706.0,XEST 11-078,65.565426,26.951643,Gaia,M1,,,,,,,,,,,,,,,,17.173,0.005,18.238,0.016,15.692,0.005,,2MASS J04221568+2657060
120,J04221644+2549118,J042216.45+254911.6,,65.568557,25.819864,Gaia,M7.75,14.126,0.39,-19.654,0.293,6.611,0.194,,,,,,,,,,17.617,0.003,20.439,0.163,16.013,0.011,blue,2MASS J04221644+2549118
121,J04221675+2654570,,IRAS F04192+2647,65.569917,26.915805,Gaia,M1.5,11.307,0.273,-17.597,0.18,6.346,0.135,,,,,,,,,,16.081,0.023,17.65,0.07,14.768,0.072,blue,2MASS J04221675+2654570
122,J04222404+2646258,,XEST 11-087,65.600248,26.773802,Gaia,M4.75,11.413,0.22,-17.856,0.143,6.125,0.105,,,,,,,,,,15.03,0.001,17.404,0.008,13.61,0.002,blue,2MASS J04222404+2646258
123,J04224786+2645530,,IRAS 04196+2638,65.699557,26.764612,Gaia,M1,10.743,0.23,-17.142,0.15,6.342,0.11,,,,,,,,,,15.97,0.009,17.929,0.034,14.587,0.026,blue,2MASS J04224786+2645530
124,J04225416+2439538,,,65.725752,24.66482,Gaia,M5,7.994,0.211,-23.411,0.147,7.86,0.101,,,,,,,,,,13.35,0.002,15.511,0.01,11.958,0.006,red,2MASS J04225416+2439538
125,J04230607+2801194,J042306.08+280119.2,,65.775373,28.021984,Gaia,M6,7.929,0.274,-26.682,0.182,7.469,0.136,,,,,,,,,,16.2,0.002,18.722,0.033,14.733,0.006,red,2MASS J04230607+2801194
126,J04230776+2805573,J042307.77+280557.4,IRAS 04200+2759,65.782447,28.099181,Gaia,M2,9.654,0.326,-27.014,0.22,7.191,0.172,,,,,,,,,,17.081,0.018,18.445,0.051,15.768,0.065,red,2MASS J04230776+2805573
127,J04231822+2641156,J042318.23+264115.4,,65.826051,26.687584,Gaia,M3.5,,,,,,,,,,,,,,,,18.105,0.005,20.799,0.119,16.415,0.008,,2MASS J04231822+2641156
128,J04233290+1950193,J042332.91+195019.2,PSO J065.8871+19.8386,65.887163,19.838637,Gaia,M9,8.309,0.821,-10.676,0.481,6.814,0.361,,,,,,,,,,18.444,0.003,21.306,0.24,16.798,0.012,red,2MASS J04233290+1950193
129,J04233539+2503026,,FU Tau A,65.897496,25.050671,Gaia,M7,6.895,0.376,-21.026,0.202,7.598,0.15,,,,,,,,,,15.241,0.002,18.025,0.014,13.71,0.007,red,2MASS J04233539+2503026
130,J04233573+2502596,J042335.74+250259.4,FU Tau B,65.89895,25.049797,Gaia,M9.25,12.45,4.056,-21.761,1.903,7.491,1.289,,,,,,,,,,20.48,0.007,21.447,0.2,18.574,0.037,red,2MASS J04233573+2502596
131,J04233919+2456141,,FT Tau,65.913322,24.937198,Gaia,M3,6.918,0.119,-21.698,0.075,7.825,0.052,,,,,,,,,,13.611,0.005,14.943,0.027,12.38,0.013,red,2MASS J04233919+2456141
132,J04242090+2630511,J042420.91+263050.8,,66.087119,26.514067,Gaia,M6.5,9.255,0.386,-27.366,0.261,7.268,0.183,,,,,,,,,,17.636,0.005,20.041,0.062,16.14,0.02,red,2MASS J04242090+2630511
133,J04242321+2650084,,,66.096773,26.835577,Gaia,M2,11.491,0.172,-18.347,0.12,6.463,0.09,,,,,,,,,,14.189,0.004,15.912,0.02,12.908,0.011,blue,2MASS J04242321+2650084
134,J04242646+2649503,J042426.47+264950.1,,66.110311,26.830548,Gaia,M5.75,11.579,0.255,-17.861,0.18,6.43,0.13,,,,,,,,,,16.96,0.001,19.743,0.065,15.468,0.005,blue,2MASS J04242646+2649503
135,J04244457+2610141,,IRAS 04216+2603,66.185806,26.170512,Gaia,M2.8,11.866,0.304,-17.322,0.154,6.267,0.109,,,,,,,,,,15.62,0.037,17.19,0.155,14.298,0.1,blue,2MASS J04244457+2610141
136,J04244506+2701447,J042445.07+270144.5,J1-4423,66.187813,27.028988,Gaia,M4.5,8.394,0.148,-26.844,0.107,7.891,0.083,,,,,,,,,,14.576,0.001,16.367,0.006,13.287,0.003,red,2MASS J04244506+2701447
137,J04244815+2643161,,RX J0424.8+2643,66.200694,26.721066,Gaia,K1,10.469,0.104,-14.544,0.077,6.166,0.046,12.8,,7,-13.9,0.98,-11.66,0.18,-4.93,0.17,10.725,0.001,11.624,0.005,9.814,0.003,blue,2MASS J04244815+2643161
138,J04244904+2643104,,HD 283641,66.204407,26.719482,Gaia,K0,10.612,0.173,-17.047,0.134,6.212,0.084,16.23,0.04,1,-17.07,0.09,-12.57,0.2,-7.0,0.15,10.799,0.002,11.639,0.006,9.92,0.004,blue,2MASS J04244904+2643104
139,J04245021+2641006,J042450.21+264100.5,,66.209246,26.683446,Gaia,M5,12.341,0.254,-17.218,0.174,6.527,0.127,,,,,,,,,,16.29,0.002,18.816,0.022,14.831,0.007,blue,2MASS J04245021+2641006
140,J04245708+2711565,,IP Tau,66.237884,27.198925,Gaia,M0.6,8.359,0.11,-26.747,0.076,7.659,0.042,16.24,0.03,1,-16.11,0.05,-13.3,0.09,-11.32,0.08,12.422,0.005,13.419,0.019,11.414,0.016,red,2MASS J04245708+2711565
141,J04251550+2829275,J042515.51+282927.3,,66.314675,28.490875,Gaia,M6.5,10.787,0.287,-25.045,0.202,7.516,0.144,,,,,,,,,,15.25,0.002,17.858,0.014,13.77,0.007,red,2MASS J04251550+2829275
142,J04251767+2617504,J042517.49+261748.2,J1-4872 B,66.322903,26.296743,Gaia,M3.7,,,,,,,,,,,,,,,,13.926,0.002,15.754,0.01,12.572,0.004,,2MASS J04251767+2617504
143,J04251767+2617504,,J1-4872 A,66.323764,26.297293,Gaia,M0.6,28.987,0.576,-11.374,0.449,5.983,0.195,,,,,,,,,,12.768,0.004,14.153,0.017,11.598,0.01,blue,2MASS J04251767+2617504
144,J04262939+2624137,J042629.40+262413.6,KPNO 3,66.622511,26.403735,Gaia,M6,10.898,0.364,-17.854,0.289,6.415,0.227,,,,,,,,,,17.601,0.002,19.974,0.097,16.086,0.007,blue,2MASS J04262939+2624137
145,J04263055+2443558,J042630.55+244355.7,,66.627336,24.732082,Gaia,M8.75,2.745,1.566,-22.02,0.992,8.41,0.675,,,,,,,,,,19.812,0.006,20.737,0.283,18.102,0.02,red,2MASS J04263055+2443558
146,J04264449+2756433,J042644.50+275643.1,,66.685442,27.945259,Gaia,M6,8.838,0.313,-25.182,0.231,7.568,0.178,,,,,,,,,,16.569,0.002,19.081,0.031,15.096,0.007,red,2MASS J04264449+2756433
147,J04265352+2606543,,FV Tau A+B,66.72309,26.114984,Gaia,M0,,,,,,,,,,,,,,,,14.267,0.015,16.196,0.031,12.778,0.028,,2MASS J04265352+2606543
148,J04265440+2606510,,FV Tau/c A+B,66.726691,26.114063,Gaia,M2.5,3.984,0.287,-20.4,0.2,7.147,0.135,,,,,,,,,,15.066,0.002,17.456,0.016,13.612,0.007,red,2MASS J04265440+2606510
149,J04265629+2443353,,IRAS 04239+2436,66.734571,24.72648,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04265629+2443353
150,J04265732+2606284,,KPNO 13,66.738843,26.107783,Gaia,M5,5.194,0.317,-20.71,0.218,7.498,0.127,,,,,,,,,,15.572,0.002,18.248,0.017,14.082,0.007,red,2MASS J04265732+2606284
151,J04270266+2605304,J042702.63+260530.3,DG Tau B,66.761087,26.091793,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04270266+2605304
152,J04270280+2542223,,DF Tau A+B,66.761649,25.706123,Gaia,M2,3.504,0.793,-26.65,0.685,8.041,0.421,12.0,3.0,2,-10.81,3.02,-11.76,0.82,-11.84,0.51,11.031,0.006,12.084,0.031,9.994,0.014,red,2MASS J04270280+2542223
153,J04270469+2606163,,DG Tau,66.769577,26.104373,Gaia,K7,6.156,0.357,-19.297,0.241,8.252,0.146,15.4,0.6,1,-14.92,0.64,-8.6,0.2,-8.71,0.11,12.024,0.013,12.978,0.054,10.863,0.041,red,2MASS J04270469+2606163
154,J04270739+2215037,J042707.39+221503.6,,66.780884,22.250969,Gaia,M6.75,7.239,0.212,-17.219,0.143,6.202,0.107,16.8,0.6,8,-15.74,0.63,-12.22,0.24,-9.44,0.07,16.148,0.001,18.75,0.018,14.684,0.003,blue,2MASS J04270739+2215037
155,J04272467+2624199,J042724.68+262419.8,,66.852891,26.40543,Gaia,M3,11.196,0.169,-18.049,0.131,6.205,0.096,,,,,,,,,,14.81,0.001,16.745,0.007,13.492,0.003,blue,2MASS J04272467+2624199
156,J04272799+2612052,J042727.99+261205.0,KPNO 4,66.866674,26.201315,Gaia,M9.5,1.805,2.433,-23.448,2.328,7.424,1.214,,,,,,,,,,20.575,0.01,21.499,0.046,18.824,0.022,red,2MASS J04272799+2612052
157,J04274538+2357243,J042745.39+235724.3,,66.939169,23.956711,Gaia,M8.25,11.273,1.325,-16.573,0.916,6.243,0.614,,,,,,,,,,19.718,0.004,20.528,0.317,18.02,0.019,blue,2MASS J04274538+2357243
158,J04274951+2738155,J042749.53+273815.3,,66.956317,27.637659,2MASS,M9.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04274951+2738155
159,J04275730+2619183,J042757.29+261918.4,IRAS 04248+2612,66.988779,26.321751,2MASS,M4.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04275730+2619183
160,J04281566+2711110,J042815.67+271110.6,,67.065322,27.186285,Gaia,M5.5,8.194,0.286,-26.734,0.172,7.589,0.125,,,,,,,,,,15.567,0.002,17.799,0.017,14.172,0.003,red,2MASS J04281566+2711110
161,,,L1521F-IRS,67.162,26.859611,Spitzer,,,,,,,,,,,,,,,,,,,,,,,,
162,J04284263+2714039,J042842.63+271403.7,,67.177627,27.234393,Gaia,M5.25,8.262,0.27,-25.276,0.178,7.531,0.143,,,,,,,,,,16.216,0.002,18.134,0.016,14.57,0.012,red,2MASS J04284263+2714039
163,,,J04284263+2714039 B,67.177663,27.234219,Gaia,,9.83,0.878,-26.556,0.469,7.506,0.4,,,,,,,,,,17.446,0.013,,,,,red,
164,J04285053+1844361,J042850.54+184436.0,,67.210655,18.743287,Gaia,M7.25,12.085,0.346,-18.572,0.215,7.338,0.179,,,,,,,,,,15.186,0.003,17.726,0.029,13.685,0.005,blue,2MASS J04285053+1844361
165,J04290068+2755033,J042900.68+275503.0,,67.252894,27.917474,Gaia,M8.25,8.648,0.745,-25.258,0.479,6.866,0.351,,,,,,,,,,18.444,0.004,20.811,0.212,16.833,0.014,red,2MASS J04290068+2755033
166,J04290498+2649073,J042904.99+264907.1,IRAS 04260+2642,67.270794,26.818583,Gaia,K5.5,,,,,,,,,,,,,,,,19.282,0.013,20.601,0.089,17.475,0.031,,2MASS J04290498+2649073
167,J04291983+2724153,,HD 28354,67.33267,27.404111,Gaia,B9,7.265,0.174,-25.149,0.133,7.289,0.109,,,,,,,,,,6.518,0.001,6.532,0.003,6.529,0.002,red,2MASS J04291983+2724153
168,J04292071+2633406,,J1-507,67.3363,26.561144,Gaia,M4.2,7.911,0.387,-20.409,0.262,7.737,0.199,,,,,,,,,,13.009,0.003,14.789,0.009,11.738,0.005,red,2MASS J04292071+2633406
169,J04292165+2701259,,IRAS 04263+2654,67.340255,27.023758,Gaia,M5.25,,,,,,,,,,,,,,,,16.082,0.002,19.684,0.053,14.427,0.01,,2MASS J04292165+2701259
170,J04292373+2433002,,GV Tau A+B,67.348922,24.549952,Gaia,K5,8.695,0.853,-25.085,0.672,5.564,0.512,,,,,,,,,,16.006,0.02,17.16,0.023,14.372,0.053,blue,2MASS J04292373+2433002
171,J04292971+2616532,,FW Tau A+B+C,67.373784,26.281326,Gaia,M5.8,,,,,,,,,,,,,,,,13.998,0.001,16.223,0.011,12.594,0.005,,2MASS J04292971+2616532
172,J04293008+2439550,J042930.08+243954.9,IRAS 04264+2433,67.375334,24.665293,2MASS,M1,,,,,,,,,,,,,,,,,,,,,,,2MASS J04293008+2439550
173,J04293209+2430597,J042932.09+243059.6,,67.383731,24.516598,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04293209+2430597
174,J04293606+2435556,,XEST 13-010,67.400311,24.598686,Gaia,M3,8.567,0.172,-20.203,0.135,7.727,0.089,,,,,,,,,,14.852,0.016,16.828,0.048,13.496,0.05,red,2MASS J04293606+2435556
175,J04294155+2632582,,DH Tau A+B,67.423167,26.54939,Gaia,M2.3,7.065,0.117,-20.699,0.079,7.388,0.069,16.52,0.04,1,-16.26,0.06,-10.78,0.12,-9.45,0.09,12.496,0.009,13.545,0.037,11.446,0.023,red,2MASS J04294155+2632582
176,J04294247+2632493,,DI Tau A+B,67.427007,26.546886,Gaia,M0.7,6.899,0.113,-21.207,0.074,7.401,0.052,15.1,0.02,1,-14.85,0.04,-11.14,0.09,-9.36,0.09,11.969,0.001,13.11,0.005,10.921,0.004,red,2MASS J04294247+2632493
177,J04294568+2630468,J042945.68+263046.5,KPNO 5,67.440339,26.512843,Gaia,M7.5,6.868,0.386,-20.967,0.252,7.799,0.207,,,,,,,,,,16.884,0.002,19.799,0.037,15.348,0.004,red,2MASS J04294568+2630468
178,J04295156+2606448,,IQ Tau,67.464849,26.112369,Gaia,M1.1,5.954,0.146,-21.008,0.109,7.618,0.062,15.83,0.03,1,-15.27,0.06,-10.31,0.1,-9.78,0.11,13.236,0.042,14.489,0.183,12.04,0.126,red,2MASS J04295156+2606448
179,J04295422+1754041,J042954.22+175403.8,,67.475997,17.901004,Gaia,M4,12.804,0.329,-17.272,0.235,8.203,0.2,,,,,,,,,,16.931,0.023,18.769,0.116,15.525,0.074,blue,2MASS J04295422+1754041
180,J04295950+2433078,,,67.497989,24.552043,Gaia,M5,8.184,0.301,-21.444,0.225,7.626,0.153,19.3,0.8,8,-18.58,0.83,-11.38,0.28,-10.07,0.09,16.64,0.022,19.497,0.077,15.102,0.069,red,2MASS J04295950+2433078
181,J04300357+1813494,,UX Tau B,67.514971,18.230324,Gaia,M2,13.863,0.132,-20.037,0.085,7.301,0.072,18.7,,6,-17.48,0.97,-15.35,0.16,-7.67,0.25,12.643,0.002,13.892,0.008,11.53,0.004,blue,2MASS J04300357+1813494
182,,,UX Tau C,67.516675,18.229577,Gaia,M3,12.333,0.181,-19.873,0.111,6.849,0.104,14.7,,4,-13.45,0.99,-15.73,0.24,-7.07,0.21,14.756,0.003,14.43,0.408,,,blue,
183,J04300399+1813493,,UX Tau A,67.516697,18.230334,Gaia,K0,12.86,0.358,-17.793,0.159,7.147,0.1,15.45,0.02,1,-14.54,0.11,-14.19,0.21,-6.17,0.23,11.291,0.031,11.843,0.125,10.349,0.087,blue,2MASS J04300399+1813493
184,J04300724+2608207,J043007.24+260820.5,KPNO 6,67.530215,26.138988,Gaia,M8.5,2.667,1.193,-21.925,0.86,8.616,0.533,,,,,,,,,,19.592,0.007,20.884,0.09,18.01,0.017,red,2MASS J04300724+2608207
185,J04302365+2359129,J043023.64+235912.8,,67.598571,23.986847,Gaia,M8.25,4.732,2.204,-21.971,1.305,7.669,0.773,,,,,,,,,,19.706,0.006,21.503,0.205,18.069,0.024,red,2MASS J04302365+2359129
186,J04302961+2426450,,FX Tau A,67.623321,24.445811,Gaia,M2.2,,,,,,,16.363,0.013,1,,,,,,,12.937,0.011,14.162,0.022,11.549,0.015,,2MASS J04302961+2426450
187,,,FX Tau B,67.62356,24.445744,Gaia,,,,,,,,17.332,0.015,1,,,,,,,13.679,0.03,,,,,,
188,J04304425+2601244,,DK Tau A,67.684367,26.023445,Gaia,K8.5,6.244,0.104,-21.203,0.079,7.781,0.059,16.29,0.05,1,-15.74,0.07,-10.26,0.09,-9.68,0.08,12.625,0.049,13.508,0.186,11.347,0.133,red,2MASS J04304425+2601244
189,J04304425+2601244,J043044.39+260123.3,DK Tau B,67.685009,26.023123,Gaia,M1.7,8.574,0.208,-21.73,0.158,7.188,0.139,14.7,0.1,1,-14.64,0.14,-12.71,0.28,-8.81,0.17,14.661,0.052,15.374,0.172,13.075,0.163,red,2MASS J04304425+2601244
190,J04305028+2300088,,IRAS 04278+2253 A,67.709545,23.002369,Gaia,G8,11.851,0.326,-15.679,0.238,8.047,0.157,,,,,,,,,,14.995,0.017,17.139,0.036,13.386,0.045,red,2MASS J04305028+2300088
191,,,IRAS 04278+2253 B,67.70993,23.002334,Gaia,K8,10.59,0.742,-13.834,0.826,7.909,0.281,,,,,,,,,,17.096,0.052,,,,,red,
192,J04305137+2442222,,ZZ Tau,67.714145,24.706113,Gaia,M4.3,7.045,0.539,-20.944,0.464,7.45,0.277,,,,,,,,,,12.788,0.001,14.542,0.01,11.505,0.002,red,2MASS J04305137+2442222
193,J04305171+2441475,J043051.72+244147.4,ZZ Tau IRS,67.715554,24.696451,Gaia,M4.5,11.52,1.175,-24.497,0.883,9.513,0.656,,,,,,,,,,17.588,0.02,19.138,0.047,15.973,0.055,red,2MASS J04305171+2441475
194,J04305718+2556394,J043057.20+255639.3,KPNO 7,67.738375,25.944223,Gaia,M8.25,5.424,0.886,-23.019,0.596,8.142,0.46,,,,,,,,,,19.042,0.004,21.414,0.217,17.46,0.017,red,2MASS J04305718+2556394
195,J04311444+2710179,,JH 56,67.810207,27.171526,Gaia,K8,9.172,0.091,-27.575,0.069,7.844,0.044,,,,,,,,,,11.992,0.002,12.925,0.007,11.049,0.004,red,2MASS J04311444+2710179
196,J04311578+1820072,J043115.78+182007.0,MHO 9,67.815825,18.335219,Gaia,M4.25,12.327,0.167,-18.074,0.101,7.032,0.088,16.2,0.8,4,-15.12,0.79,-14.36,0.19,-6.71,0.15,14.456,0.001,16.267,0.006,13.163,0.002,blue,2MASS J04311578+1820072
197,J04311907+2335047,J043119.07+233504.8,,67.829517,23.584595,Gaia,M7.75,8.083,0.748,-16.604,0.515,5.829,0.357,,,,,,,,,,18.367,0.004,21.069,0.2,16.678,0.009,blue,2MASS J04311907+2335047
198,J04312382+2410529,,V927 Tau A+B,67.849258,24.18137,2MASS,M4.5,,,,,,,16.5,0.6,3,,,,,,,,,,,,,,2MASS J04312382+2410529
199,J04312405+1800215,J043124.06+180021.4,MHO 4,67.850288,18.005876,Gaia,M7,10.692,0.256,-19.57,0.162,6.899,0.142,19.1,0.4,4,-17.23,0.45,-14.78,0.31,-9.18,0.08,16.02,0.003,18.89,0.03,14.477,0.007,blue,2MASS J04312405+1800215
200,J04312669+2703188,J043126.70+270318.6,,67.861275,27.055139,Gaia,M7.5,13.988,1.175,-19.891,0.915,6.989,0.888,,,,,,,,,,19.707,0.005,21.683,0.204,18.02,0.02,blue,2MASS J04312669+2703188
201,J04313407+1808049,,L1551/IRS 5,67.891989,18.134695,2MASS,K0,,,,,,,,,,,,,,,,,,,,,,,2MASS J04313407+1808049
202,J04313613+1813432,,LkHa 358,67.900635,18.228583,Gaia,M0.9,11.776,1.07,-17.996,0.569,9.746,0.481,17.9,3.1,3,,,,,,,17.695,0.017,18.823,0.073,16.079,0.044,blue,2MASS J04313613+1813432
203,J04313747+1812244,J043137.47+181224.3,HH 30,67.906133,18.2068,2MASS,M0,,,,,,,,,,,,,,,,,,,,,,,2MASS J04313747+1812244
204,J04313843+1813576,,HL Tau,67.910153,18.232681,2MASS,K4,,,,,,,,,,,,,,,,,,,,,,,2MASS J04313843+1813576
205,J04314007+1813571,,XZ Tau A+B,67.917029,18.232401,Gaia,M2,,,,,,,18.3,0.04,1,,,,,,,12.908,0.005,14.408,0.02,11.635,0.012,,2MASS J04314007+1813571
206,J04314444+1808315,,L1551NE,67.935195,18.142094,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04314444+1808315
207,J04314644+2506236,J043146.45+250623.4,,67.943577,25.106437,Gaia,M5.5,9.733,0.324,-26.055,0.183,7.572,0.155,,,,,,,,,,15.835,0.001,18.266,0.019,14.413,0.003,red,2MASS J04314644+2506236
208,J04315056+2424180,,HK Tau A+B,67.960739,24.404839,Gaia,M1,4.464,0.152,-22.961,0.116,7.5,0.092,16.3,,6,-14.95,0.99,-11.33,0.19,-11.51,0.18,14.045,0.01,15.615,0.032,12.778,0.026,red,2MASS J04315056+2424180
209,J04315779+1821380,,V710 Tau A,67.990853,18.360465,Gaia,M3.3,12.101,0.137,-17.661,0.063,6.899,0.061,15.75,0.15,1,-14.71,0.17,-14.36,0.13,-6.47,0.04,13.019,0.005,14.103,0.031,11.852,0.01,blue,2MASS J04315779+1821380
210,J04315779+1821350,,V710 Tau B,67.990887,18.359567,Gaia,M1.7,8.967,0.243,-18.463,0.12,6.996,0.111,17.72,0.09,1,-15.87,0.15,-13.21,0.22,-8.99,0.14,12.998,0.001,14.654,0.004,11.75,0.004,blue,2MASS J04315779+1821350
211,J04315844+2543299,,J1-665,67.993583,25.724914,Gaia,M4.9,7.549,0.183,-21.144,0.134,6.553,0.097,,,,,,,,,,14.043,0.001,16.092,0.008,12.703,0.002,blue,2MASS J04315844+2543299
212,J04315968+1821305,J043159.68+182130.3,LkHa 267,67.99875,18.35836,Gaia,M2.5,10.367,0.346,-17.164,0.167,6.437,0.157,,,,,,,,,,16.977,0.029,18.395,0.085,15.606,0.091,blue,2MASS J04315968+1821305
213,J04320157+1815229,J043201.56+181522.7,,68.006555,18.256378,2MASS,M9.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04320157+1815229
214,J04320329+2528078,J043203.29+252807.5,,68.013759,25.468731,Gaia,M6.25,8.093,0.23,-22.81,0.18,7.669,0.129,,,,,,,,,,15.676,0.002,18.259,0.013,14.206,0.007,red,2MASS J04320329+2528078
215,J04320926+1757227,,L1551-51,68.038736,17.95622,Gaia,K6,11.837,0.08,-19.495,0.052,6.97,0.046,18.39,0.1,1,-16.79,0.12,-15.13,0.1,-8.25,0.03,11.629,0.002,12.403,0.004,10.791,0.003,blue,2MASS J04320926+1757227
216,J04321456+1820147,,V827 Tau,68.060765,18.337364,Gaia,M2,9.55,0.719,-13.406,0.473,6.143,0.351,17.77,0.05,1,-16.7,0.27,-12.35,0.73,-6.76,0.61,11.932,0.008,13.005,0.036,10.857,0.023,blue,2MASS J04321456+1820147
217,J04321540+2428597,,Haro 6-13,68.064264,24.483125,Gaia,M0,5.017,0.317,-21.378,0.243,7.665,0.188,,,,,,,,,,14.998,0.013,16.974,0.049,13.552,0.035,red,2MASS J04321540+2428597
218,J04321583+1801387,,V826 Tau A+B,68.066052,18.027348,Gaia,K7,11.948,0.091,-19.261,0.053,6.933,0.042,17.47,0.08,9,-15.99,0.1,-15.14,0.09,-7.78,0.04,11.175,0.001,12.057,0.004,10.28,0.003,blue,2MASS J04321583+1801387
219,J04321606+1812464,J043216.07+181246.4,MHO 5,68.066999,18.212809,Gaia,M6,13.081,0.202,-17.566,0.114,6.915,0.095,20.8,0.7,4,-19.62,0.71,-14.65,0.21,-7.64,0.09,15.022,0.004,17.136,0.045,13.585,0.007,blue,2MASS J04321606+1812464
220,J04321786+2422149,J043217.86+242214.9,,68.074497,24.370712,Gaia,M6,6.255,0.302,-22.196,0.233,8.053,0.192,15.6,,10,-14.65,1.02,-10.85,0.31,-9.75,0.14,15.746,0.001,18.5,0.039,14.235,0.003,red,2MASS J04321786+2422149
221,J04321885+2422271,,V928 Tau A+B,68.078683,24.374087,Gaia,M0.8,,,,,,,15.38,0.16,1,,,,,,,12.812,0.002,14.309,0.008,11.603,0.004,,2MASS J04321885+2422271
222,J04322210+1827426,J043222.10+182742.5,MHO 6,68.092181,18.461767,Gaia,M4.75,11.796,0.222,-18.596,0.113,7.046,0.097,13.6,0.7,3,-12.53,0.71,-14.45,0.2,-6.2,0.09,15.287,0.001,17.38,0.007,13.919,0.005,blue,2MASS J04322210+1827426
